epoch,accuracy,loss,val_accuracy,val_loss
0,0.4000000059604645,0.7112435698509216,0.5,0.6613874435424805
1,0.5582417845726013,0.6574336290359497,0.7543859481811523,0.6371915340423584
2,0.6417582631111145,0.6460512280464172,0.859649121761322,0.6171498894691467
3,0.6989011168479919,0.6320297122001648,0.8684210777282715,0.6005833745002747
4,0.7802197933197021,0.6052272319793701,0.8684210777282715,0.5865934491157532
5,0.7604395747184753,0.6057798862457275,0.8771929740905762,0.5732312202453613
6,0.7824175953865051,0.5838446617126465,0.8859649300575256,0.5607950091362
7,0.7802197933197021,0.5816559791564941,0.8947368264198303,0.5492255091667175
8,0.79340660572052,0.5751159191131592,0.8947368264198303,0.5376611351966858
9,0.8197802305221558,0.5554187893867493,0.8947368264198303,0.5251510739326477
10,0.7846153974533081,0.5487803816795349,0.8947368264198303,0.513310968875885
11,0.8087912201881409,0.5384054183959961,0.8947368264198303,0.5021613836288452
12,0.8219780325889587,0.5299933552742004,0.8947368264198303,0.49112218618392944
13,0.8021978139877319,0.5239637494087219,0.8947368264198303,0.48045048117637634
14,0.8109890222549438,0.5132055878639221,0.8947368264198303,0.46975281834602356
15,0.8087912201881409,0.512930691242218,0.8947368264198303,0.45992931723594666
16,0.8571428656578064,0.493283748626709,0.9035087823867798,0.450769305229187
17,0.8549450635910034,0.4808923304080963,0.9035087823867798,0.44076094031333923
18,0.8549450635910034,0.4743765592575073,0.9035087823867798,0.43067467212677
19,0.8571428656578064,0.4512990415096283,0.9122806787490845,0.42097702622413635
20,0.8527472615242004,0.4459201991558075,0.9122806787490845,0.4114430844783783
21,0.8373626470565796,0.45046350359916687,0.9210526347160339,0.4031420648097992
22,0.8659340739250183,0.4362729787826538,0.9035087823867798,0.3950338661670685
23,0.8725274801254272,0.42396897077560425,0.9122806787490845,0.3865189552307129
24,0.8637362718582153,0.41932567954063416,0.9122806787490845,0.3773612976074219
25,0.8329670429229736,0.4262675940990448,0.9035087823867798,0.3696368336677551
26,0.8769230842590332,0.4017125964164734,0.9122806787490845,0.3618296682834625
27,0.8637362718582153,0.41483020782470703,0.9122806787490845,0.35426196455955505
28,0.8637362718582153,0.3919115662574768,0.9122806787490845,0.34693506360054016
29,0.8659340739250183,0.3943313658237457,0.9210526347160339,0.34017908573150635
30,0.8835164904594421,0.3839357793331146,0.9298245906829834,0.33381956815719604
